id,review,positive,negative,neutral,Clean,Comfort,Facilities/Amenities,Location,Restaurant (dinner),Staff,View (Balcony),Breakfast,Room,Pool,Beach,Bathroom/Shower (toilet),Bar,Bed,Parking,Noise,Reception-checkin,Lift,Value for money,Wi-Fi,Generic,Aspect,
178,A good variety of fresh breakfast items available.,1,,,,,,,,,,1,,,,,,,,,,,,,,,
179,A great bar.,1,,,,,,,,,,,,,,,1,,,,,,,,,,
180,A great base to be close to everything you need.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
181,"A great hostel experience, and my first stay in a hostel.",1,,,,,,,,,,,,,,,,,,,,,,,,,
182,"A great location to get to lots of bars and restaurants, close to La Ramblas but also lots of great places to shop, eat and drink within five minutes walk in Born.",1,,,,,,1,1,,,,,,,,1,,,,,,,,,,
183,A great location which is not far from the downtown.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
184,"A great location, very easy to get to from the airport.",1,,,,,,1,,,,,,,,,,,,,,,,,,,
185,A great not too big hotel in the best location.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
186,A gym next to the property.,1,,,,,1,1,,,,,,,,,,,,,,,,,,,
187,A hair dryer in the room would be great.,,,1,,,1,,,,,,1,,,,,,,,,,,,,,
188,A hole in a bathroom door.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
189,A hotel inside an outdated building with an old and not always available elevator,,1,,,,,,,,,,,,,,,,,,,1,,,1,,
190,A hotel that desperately needs an update.,,1,,,,,,,,,,,,,,,,,,,,,,,,
191,A hotel without any staff in the reception and anywhere in the hotel in the point of need.,,1,,,,,,,1,,,,,,,,,,,,,,,,,
192,A inviting bar at the ground floor.,1,,,,,,,,,,,,,,,1,,,,,,,,,,
193,A kettle/cups would be a real plus.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
194,A knock on the door during sleep time to discuss billing was blind and stupid.,,1,,,,,,,1,,,1,,,,,1,,,,,,,,,
195,A leaking shower head.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
196,"A light flickered annoyingly in one room, and the staff did nothing about it even though we told them.",,1,,,,,,,1,,,1,,,,,,,,,,,,,,
197,A little bit annoying to have to check in at another location than the stay.,,1,,,,,1,,,,,,,,,,,,,1,,,,,,
198,A little bit away from old town about 2 km.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
199,"A little bit difficult with a baby stroller / wagon, as the entry doors are small and also the elevator to go to the hotel on the third floor.",,1,,,1,,,,,,,,,,,,,,,,1,,,,,
200,A little bit further from the city centre than we would normally book.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
201,A little bit noisy at the morning due to the construction besides the hotel.,,1,,,,,1,,,,,,,,,,,,1,,,,,,,
202,A little bit too far to the nearest metro station.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
203,A little but uncomfortable bed and pillow and some dust.,,1,,1,1,,,,,,,,,,,,1,,,,,,,,,
204,A little dirty and uncomfortable bed.,,1,,1,1,,,,,,,,,,,,1,,,,,,,,,
205,"A little disappointed with SPA area, I excepted some deckchairs where one could rest, not to spend entire time in the pool or sauna.",,1,,,,1,,,,,,,1,,,,,,,,,,,,,
206,A little disappointed with the pool and breakfast could have more things but the rest was great is a hotel where we could return staff great I liked my trip.,1,,,,,,,,1,,1,,1,,,,,,,,,,,,1,
207,A little disorganized and some waste of time due to an error with the room that was then only partly resolved.,,1,,,,,,,,,,1,,,,,,,,,,,,,,
208,A little dusty in room.,,1,,1,,,,,,,,1,,,,,,,,,,,,,,
209,A little far away from central and Ramblas.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
210,A little far from central Barcelona and the beaches.,,1,,,,,1,,,,,,,1,,,,,,,,,,,,
211,A little far from centre.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
212,A little far from main attractions.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
213,A little far from the city center and over a kilometer from public transport.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
214,A little far to walk to city but metro links were great.,,,1,,,,1,,,,,,,,,,,,,,,,,,1,
215,A little more space in the room would have been nice but it's not too much of a problem either.,,,1,,1,,,,,,,1,,,,,,,,,,,,,1,
216,A little more storage space for clothes would be good.,,1,,,,1,,,,,,,,,,,,,,,,,,,,
217,"A little neglected needs improvements, including cleanliness.",,1,,1,,,,,,,,,,,,,,,,,,,,,,
218,A little noise in the room from other rooms.,,1,,,,,,,,,,1,,,,,,,1,,,,,,,
219,A little noisy and shower over the bath.,,1,,,,,,,,,,,,,1,,,,1,,,,,,,
220,A little noisy because it faces the side of the road.,,1,,,,,1,,,,,,,,,,,,1,,,,,,,
221,A little noisy but to be expected given the location!,,,1,,,,1,,,,,,,,,,,,1,,,,,,1,
222,A little noisy in the lane outside our window.,,1,,,,,,,,1,,,,,,,,,1,,,,,,,
223,A little noisy on our side of the property.,,1,,,,,,,,,,,,,,,,,1,,,,,,,
224,A little noisy on weekends in the street.,,1,,,,,1,,,,,,,,,,,,1,,,,,,,
225,A little rough and severe welcome from the lady at the reception on the morning of departure.,,1,,,,,,,1,,,,,,,,,,,1,,,,,,
226,A little smoke smell in the room.,,1,,,,,,,,,,1,,,,,,,,,,,,,,
227,A little too small room.,,1,,,1,,,,,,,1,,,,,,,,,,,,,,
228,A little work on improving the breakfast and adding the mozzarella to the menu Kono we are in the country of mozzarella.,,1,,,,,,,,,1,,,,,,,,,,,,,,,
229,"A location of a hostel is just amazing, right in the center.",1,,,,,,1,,,,,,,,,,,,,,,,,,,
230,A lot could have been achieved with little effort (example: wiping once over the shelf in the bathroom).,,1,,,,,,,,,,1,,,1,,,,,,,,,,,
231,A lot of bars and restaurants nearby.,1,,,,,,1,1,,,,,,,,1,,,,,,,,,,
232,"A lot of charm, a friendly welcome.",1,,,,,,,,1,,,,,,,,,,,,,,,,,
233,A lot of drunk girl groups making a lot of noise during the night in the hotel.,,1,,,,,,,,,,,,,,,,,1,,,,,,,
234,A lot of dust under the bed.,,1,,1,,,,,,,,,,,,,1,,,,,,,,,
235,"A lot of dust, noise and confusion, especially from morning to late afternoon.",,1,,1,,,,,,,,,,,,,,,1,,,,,,,
236,A lot of nice and tasty restaurants in the area so we won't be bored at the end of the day.,1,,,,,,,1,,,,,,,,,,,,,,,,,,
237,A lot of noise all the time.,,1,,,,,,,,,,,,,,,,,1,,,,,,,
238,A lot of noise from the outside if you sleep in the front.,,1,,,,,,,,,,,,,,,,,1,,,,,,,
239,A lot of noise in neighboring rooms.,,1,,,,,,,,,,1,,,,,,,1,,,,,,,
240,"A lot of noise in the first few nights, slamming doors and loud talking throughout the corridors which kept us awake at night.",,1,,,,,,,,,,,,,,,,,1,,,,,,,
241,"A lot of noise in the hallway, which woke me up in the evenings.",,1,,,,,,,,,,,,,,,,,1,,,,,,,
242,A lot of open space parking.,1,,,,,,,,,,,,,,,,,1,,,,,,,,
243,A lot of options for breakfast.,1,,,,,,,,,,1,,,,,,,,,,,,,,,
244,A lot of people in their rating think the rooms were very noisy.,,1,,,,,,,,,,1,,,,,,,1,,,,,,,
245,A lot of street noise.,,1,,,,,1,,,,,,,,,,,,1,,,,,,,
246,A lot of sunbeds broken.,,1,,,,,,,,,,,1,,,,,,,,,,,,,
247,"A lot of traffic noise, I guess the problem is the little isolation of the windows.",,1,,,,,,,,,,,,,,,,,1,,,,,,,
248,A lot to choose from and good quality - also possible to ala carte order.,1,,,,,,,,,,1,,,,,,,,,,,,,,,
249,"A loud bar in front of our window, played very loud music till early morning.",,1,,,,,,,,,,,,,,1,,,1,,,,,,,
250,A lovely hotel with amazing views (we were on the 23rd floor) was amazing to wake up to this view.,1,,,,,,,,,1,,1,,,,,,,,,,,,,,
251,"A lovely old hotel with a long history, and with a fantastic inner courtyard with a glass roof, nicely decorated rooms and clean, comfortable beds.",1,,,1,1,,,,,,,1,,,,,1,,,,,,,1,,
252,"A lovely, clean, well-designed room, a perfect bed.",1,,,1,,,,,,,,1,,,,,1,,,,,,,,,
253,A magnificent view.,1,,,,,,,,,1,,,,,,,,,,,,,,,,
254,A man came and tried to fix it but the AC still did not work.,,1,,,,1,,,,,,,,,,,,,,,,,,,,
255,A man doing the night shifts at the front desk who didn't know English yelled for no reason.,,1,,,,,,,1,,,,,,,,,,,,,,,,,
256,"A mini fridge would be nice, too.",,1,,,,1,,,,,,,,,,,,,,,,,,,,
257,A mini-fridge in the room would also have been nice to keep your own drinks cool - would have added convenience even more.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
258,A mistake can happen but in this case we are talking about basic hygienic conditions and a deep rudeness from the manager.,,1,,1,,,,,1,,,,,,,,,,,,,,,,,
259,A modern and central room to visit Naples.,1,,,,,,,,,,,1,,,,,,,,,,,,,,
260,A more efficient elevator would be nice.,,1,,,,,,,,,,,,,,,,,,,1,,,,,
261,A nauseating smell came from the bathroom.,,1,,1,,,,,,,,,,,1,,,,,,,,,,,
262,A negative was the discovery of a few ants in the room and a minor dirty spot on a pillowcase.,,1,,1,,,,,,,,1,,,,,1,,,,,,,,1,
263,"A nice ""courtyard animal"" (Blatta orientalis) kept us company for 2 days in the room, pity it was not alive.",,,1,,,,,,,,,,,,,,,,,,,,,,,
264,A nice adjoining terrace.,1,,,,,,,,,,,1,,,,,,,,,,,,,,
265,A nice and friendly staff that are happy to answer any question.,1,,,,,,,,1,,,,,,,,,,,,,,,,,
266,A nice kid room with toys.,1,,,,,,,,,,,1,,,,,,,,,,,,,,
267,A nice location close to the tunnel to the river.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
268,A nice private bathroom.,1,,,,,,,,,,,,,,1,,,,,,,,,,,
